epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2421,0.82873,3.21577,1.09538,0.30363,0.19156,0.09297,0.0645,1.12539,2.85389,1.21415,7.71892e-05,7.71892e-05,7.71892e-05
2,30.7504,0.81881,3.11612,1.1004,0.27569,0.17801,0.1105,0.07739,1.06607,2.78078,1.18345,0.000141027,0.000141027,0.000141027
3,43.0295,0.82919,3.00901,1.1033,0.27859,0.18928,0.13221,0.09395,1.02572,2.70257,1.16084,0.000189156,0.000189156,0.000189156
4,54.9465,0.82938,2.88992,1.10668,0.34686,0.1955,0.15049,0.10535,1.0667,2.60529,1.1948,0.000167314,0.000167314,0.000167314
5,67.0804,0.81023,2.77893,1.11821,0.29853,0.22882,0.18236,0.12444,1.1102,2.51942,1.20499,0.000143752,0.000143752,0.000143752
6,79.0959,0.81954,2.71541,1.108,0.26828,0.27357,0.2164,0.15102,1.11099,2.43808,1.21312,0.00012019,0.00012019,0.00012019
7,90.9775,0.80194,2.61058,1.11088,0.27578,0.29917,0.23103,0.17395,0.97444,2.36911,1.1542,9.6628e-05,9.6628e-05,9.6628e-05
8,102.971,0.82013,2.56425,1.11306,0.23351,0.31851,0.25423,0.18862,1.00864,2.33637,1.16158,7.3066e-05,7.3066e-05,7.3066e-05
9,114.464,0.81522,2.53041,1.12027,0.31878,0.3282,0.27342,0.20201,1.0078,2.29192,1.15462,4.9504e-05,4.9504e-05,4.9504e-05
10,125.589,0.80335,2.49908,1.10672,0.31672,0.32867,0.28396,0.21126,1.00041,2.25497,1.14201,2.5942e-05,2.5942e-05,2.5942e-05
