epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.954,1.57509,2.44119,1.2208,0.64965,0.50731,0.53865,0.23956,1.70152,1.98594,1.32177,0.000664188,0.000664188,0.000664188
2,268.9,1.68333,1.56028,1.27869,0.65751,0.54736,0.56053,0.24846,1.72325,1.75439,1.34354,0.00127815,0.00127815,0.00127815
3,398.521,1.67073,1.35399,1.2686,0.66412,0.57088,0.57523,0.27691,1.67821,1.58828,1.2846,0.00183932,0.00183932,0.00183932
4,526.475,1.6603,1.27936,1.25957,0.77959,0.67387,0.71112,0.34251,1.64217,1.11356,1.26813,0.0017624,0.0017624,0.0017624
5,657.703,1.61823,1.17258,1.2261,0.78853,0.68659,0.73403,0.34791,1.66059,1.11279,1.27585,0.0016832,0.0016832,0.0016832
6,784.421,1.60287,1.14354,1.22913,0.76491,0.68404,0.70551,0.34953,1.58369,1.0915,1.23442,0.001604,0.001604,0.001604
7,914.306,1.5742,1.0754,1.20811,0.75459,0.71138,0.74158,0.35635,1.57489,1.06719,1.22087,0.0015248,0.0015248,0.0015248
8,1040.76,1.56194,1.05438,1.19748,0.83382,0.71519,0.77723,0.38675,1.57114,1.00279,1.19714,0.0014456,0.0014456,0.0014456
9,1169.18,1.53584,1.0192,1.18302,0.82508,0.71138,0.78208,0.39171,1.56111,0.98556,1.20689,0.0013664,0.0013664,0.0013664
10,1296.33,1.50705,1.009,1.18132,0.81741,0.71721,0.76547,0.38212,1.53869,0.96317,1.1933,0.0012872,0.0012872,0.0012872
11,1423.41,1.49872,0.97368,1.17502,0.85,0.73299,0.79498,0.4208,1.48942,0.88194,1.18413,0.001208,0.001208,0.001208
12,1548.91,1.49007,0.95114,1.16593,0.8422,0.75652,0.80132,0.41682,1.47704,0.88538,1.159,0.0011288,0.0011288,0.0011288
13,1672.97,1.46923,0.93075,1.15343,0.83822,0.7527,0.80028,0.41161,1.49522,0.8905,1.17251,0.0010496,0.0010496,0.0010496
14,1800.18,1.46115,0.91088,1.15585,0.84358,0.76224,0.82002,0.43436,1.47803,0.84661,1.16846,0.0009704,0.0009704,0.0009704
15,1925.77,1.44884,0.8921,1.15491,0.83791,0.76097,0.82226,0.43762,1.4596,0.84667,1.15142,0.0008912,0.0008912,0.0008912
16,2050.39,1.46617,0.85716,1.16566,0.83831,0.74493,0.81363,0.43343,1.47009,0.85561,1.16657,0.000812,0.000812,0.000812
17,2172.13,1.437,0.82962,1.15377,0.85646,0.75461,0.82615,0.44384,1.43874,0.82982,1.15321,0.0007328,0.0007328,0.0007328
18,2295.33,1.41733,0.80629,1.13956,0.8608,0.7784,0.84382,0.45614,1.42223,0.79309,1.1328,0.0006536,0.0006536,0.0006536
19,2417.64,1.41575,0.79168,1.1301,0.84117,0.77438,0.83552,0.44846,1.44024,0.79535,1.14819,0.0005744,0.0005744,0.0005744
20,2540.68,1.40742,0.77692,1.13074,0.84473,0.7782,0.82643,0.45227,1.41523,0.77926,1.14013,0.0004952,0.0004952,0.0004952
21,2661.45,1.39533,0.76652,1.12753,0.84633,0.79126,0.84386,0.46041,1.40159,0.76687,1.13583,0.000416,0.000416,0.000416
22,2785.45,1.37655,0.7527,1.11714,0.8614,0.7883,0.84461,0.4617,1.38565,0.75716,1.13309,0.0003368,0.0003368,0.0003368
23,2907.37,1.36297,0.7374,1.1107,0.86776,0.78322,0.84516,0.45984,1.38534,0.74731,1.13005,0.0002576,0.0002576,0.0002576
24,3033.32,1.35052,0.72118,1.10474,0.85386,0.80233,0.85073,0.4651,1.3889,0.74699,1.12108,0.0001784,0.0001784,0.0001784
25,3155.68,1.34256,0.7107,1.09995,0.86127,0.8012,0.85393,0.47039,1.37864,0.73284,1.11927,9.92e-05,9.92e-05,9.92e-05
